,phonetics_id,names,phonetics
0,3920,stanoiu, stah-NOY-oo
1,11148,daljit,Dal-jit
2,17533,henrik,hehn-reek
3,6339,nevers,NEHV-ehrs
4,11940,honey,HOH-nee
5,11570,lindsay,Lin-zee
6,10049,pronichev,PRAW-nee-chff
7,14147,barish,bah-rihsh
8,171,ibadan,ee-BAHD-n
9,18781,kalunga ,kah-loon-gah
10,13250,aine ,awn-ya
11,10947,wensheng,wuhn-shuhn(g)
12,18536,jokini,joh-kee-nee
13,24418,tinashe,tee-nah-sheh
14,5576,anna,ahn-NAH
15,7771,boc,BAWK
16,11945,joana,jo-AN-uh
17,21037,nestor,NEHS-tor
18,690,amum, ah-MOOM
19,19957,máirtín ,mawr-teen
20,17472,hector,ehk-tohr
21,537,abdullah, ahb-DOO-lah
22,9416,mazimhaka,mah-zee-MAH-kah
23,17651,huifang,Hway-Fahng
24,22305,quirina,kee-ree-nah
25,10367,schapiro,shah-PIH-roh
26,22800,rosane,hoh-SAH-neh
27,21146,nikolett,nee-koh-let
28,7059,desire,DEH-see-ray
29,8999,klebanov,kleh-BAH-nawf
30,11109,anirudh,Ah-nee-rood
31,9041,konah,KOH-nah
32,18061,isha,I-sha
33,15377,derin,deh-reen
34,6122,georgy,ghee-OHR-ghee
35,9796,nzomukunda,(n)zoo-moo-KOON-dah
36,13342,alcides,ahl-SEE-des
37,21314,noura,NOOR-ah
38,25961,zoé,zoh-ay
39,14259,bello,Behl-loh
40,14455,bola,Boh-lah
41,13130,admasu,ahd-mah-soo
42,23180,satinder,Suh-tin-dehr
43,20768,nader,Nah-dehr
44,4225,vilau, VIHL-koo
45,20350,megha,Meg-ha
46,9539,mitzna,MEETS-nah
47,20879,nasima,Nah-see-mah
48,9302,mady,mah-DEE
49,20765,naciimo,nah-CEE-moh
50,5361,nugzar,NOOG-zahr
51,1063,brammertz, BRAHM-ahrtz
52,12273,ayoposi,Ah-yoh-poh-see
53,20898,nasya,nah-see-yah
54,2273,klitschko, klihtsh-KAW
55,24305,thavorn,tah-vawn
56,498,yamuna,YEH-meh-nah
57,9687,namangani,nah-mahn-gah-NEE
58,7286,ernesto,ehr-NEHS-toh
59,9481,metayer,meh-tay-YAY
60,1086,budanov, boo-DAH-nawf
61,1024,boly, boh-LEE
62,1480,emanuel, ee-MAN-yoo-ehl
63,22977,sahar,Sah-hahr
64,13535,amira,ah-MEER-ah
65,6165,lovemore,LUHV-mohr
66,510,zarganar,ZAH-gah-nah
67,14095,bako,bah-koh
68,1904,hortefeux, OHR-teh-fuh
69,21053,ngoma ,ngoh-mah
70,19118,kikelomo,Kee-keh-loh-moh
71,5412,mircea,MEER-chah
72,7764,bleou,blee-OO
73,3649,sarishvili, sah-reesh-VEE-lee
74,23672,simona,see-moh-nah
75,3351,prunskiene, PROONS-kyehn-neh
76,13790,arisu,ah-ree-soo
77,25152,walther,VAL-ter
78,18868,karasavvidou,kah-rah-sahv-VEE-doo
79,1927,hussein, hoo-SAYN
80,4416,zwelithini, zweh-lih-TEE-nee
81,19475,laxmi,Luhx-mee
82,23592,shukri,SHOOK-ree
83,9563,molcho,MOHL-koh
84,24008,taehoon,Tay-hoon
85,2992,nasseri, nah-seh-REE
86,24181,tasha,TAH-shuh
87,25263,wilmer ,weel-mehr
88,13284,akane,ah-kah-neh
89,12052,seamus,SHAY-mus
90,7476,ansip,AHN-sihp
91,2864,morales, moh-RAH-lays
92,10472,sher,SHEHR
93,12051,kirsten,KUR-sten
94,15255,daran,DAH-rahn
95,25811,zainab,Zai-nab
96,11919,isidore,iz-ih-dor
97,7919,cesic,CHEH-sihch
98,24325,theodoropoulos,theh-oh-doh-ROH-poo-lohs
99,5442,aleksandros,AH-LEHK-sahn-drohs
100,19068,khalish,kah-leesh
101,25729,yunita,YOO-nee-tah
102,2304,kolomiyets, koh-loh-MEE-yehts
103,10850,uzan,OO-zahn
104,4854,carl,KAHRL
105,23611,siciid,see-CEED
106,20657,munavar ,moo-nah-vahr
107,6541,olof,OO-luhf
108,13984,ayman,EY-mahn
109,13710,antonovich,ahn-TOH-noh-vich
110,12134,arthur,Ar-thur
111,22520,ratanaporn,ra-ta-nah-PORN
112,11466,yatin,yah-tin
113,22326,raage,RAH-geh
114,13339,albina,ahl-bee-nah
115,25963,zofia ,zaw-fyah
116,1120,camano, kah-MAHN-yoh
117,8687,illarionov,ee-lah-ree-AH-nawf
118,18977,kavish,Kah-veesh
119,18961,katiana,kah-tee-ah-nah
120,1078,brochand, BROH-shah(n)
121,16811,gebre,geh-breh
122,15480,dimitrios,dee-MEE-tree-os
123,12331,shaileshkumar,SHAI-lesh-kumar
124,9889,palacio,pah-LAHS-yoh
125,1427,dumas, d-yew-MAH
126,22858,ruoxi,Rwoh-Shee
127,11693,tim,TIM
128,6085,graca,GRAH-sah
129,15132,dainius,DAI-nyuus
130,7777,bogdanovic,bohg-DAH-noh-vihch
131,24543,tuvia,too-VEE-yah
132,523,abbasi, ah-baw-SEE
133,7075,sadakazu,sah-dah-kah-ZUH
134,19811,luning,Loo-Ning
135,1224,chubais, chew-B-ICE
136,25452,yai,yai
137,24748,uwem,Oo-wehm
138,17415,haruka,hah-roo-kah
139,4909,roelof,ROO-lawf
140,1452,dzurinda, (t)SOO-rihn-dah
141,11288,manju,Man-ju
142,15303,davinder,Dah-vin-der
143,18745,kaito,kah-ee-toh
144,16179,everaldo,eh-ver-AHL-doh
145,20681,murage,moo-RAH-geh
146,14018,azhar,ahz-hahr
147,7661,bassnan,B-ASS-nan
148,1206,chilumpha, chih-LOOM-pah
149,6346,gabriel,GAH-bree-EHL
150,9305,magomadov,mah-goh-MAHD-awf
151,16922,ghofran,go-FRAHN
152,7146,tulay,TOOL-eye
153,12754,loong, LOONG
154,2653,markovic, MAHR-koh-vihch
155,1347,devi, DAY-vee
156,7514,arosemena,ah-roh-seh-MAY-nah
157,16397,fawaz,FAH-wahz
158,7262,eli,eh-LEE
159,9756,niyonsaba,nee-ahn-SAH-bah
160,5645,mahdi,MAH-(hah)-dee
161,17486,heike,hai-keh
162,23918,sunmi,Soon-mee
163,25433,yaara,YAH-rah
164,24967,vigga,VEE-gah
165,10203,ruci,ROO-jee
166,25219,wellington,weh-LEENG-ton
167,16530,fionnlagh ,fin-lah
168,4465,rodolphe,roo-DAWLF
169,23067,samer,SAH-mehr
170,11235,jasvir,Jas-vir
171,11536,dawson,Daw-son
172,17804,ignaz,ee-gnahz
173,15024,claus,klows
174,10215,rumyantsev,room-YAHNT-suhf
175,16379,fathimath,fah-thee-maht
176,1130,caputo, kah-POO-toh
177,13188,agathonas,ah-gah-THOH-nahs
178,25060,vlasovich,VLAS-oh-vich
179,22818,roxani,roks-AH-nee
180,11053,zhelev,ZHEHL-ehf
181,9877,ozkok,EHRZ-kehrk
182,666,aliyev, ah-LEE-ehv
183,6525,turgut,TOOR-goot
184,9878,pabriks,PAH-breeks
185,23025,salla,SAL-lah
186,20661,munir,Mu-nir
187,10654,sysuyev,sih-SOO-yehf
188,24100,taneka,tuh-NEE-kuh
189,8537,habyarimana,hahb-yah-ree-MAH-nah
190,5366,renson,REHN-suhn
191,11377,rubbam,ruhb-bam
192,301,mukhabarat,mook-HAH-bah-RAHT
193,23162,sarita,Saa-ri-taa
194,11628,umair,Oo-mair
195,25642,yohana,YOH-hah-nah
196,2780,mihajlov, mee-H-EYE-lahv
197,6910,nasrallah,nahs-RAH-lah
198,6918,mintimer,mihn-teh-MEER
199,18920,karppinen,KARP-pee-nen
200,17885,ilpo,EEL-poh
201,16774,gashaw,gah-shahw
202,23974,taajir,TAH-jeer
203,17189,gurleen,Goor-leen
204,13987,ayoade,ah-yoh-ah-deh
205,5678,kastriot,kass-tree-AHT
206,5136,edmond,ED-muhnd
207,20853,naomi,nah-OH-mee
208,8395,gatsinzi,gaht-SIHN-zee
209,12467,karunakaran,kah-ROON-ah-kah-RAHN
210,14450,bogalech,boh-gah-lekh
211,22158,pratik,Prah-tik
212,14458,bold,bohld
213,9876,ozkan,ERRZ-kahn
214,9247,lotfian,lawt-fee-AHN
215,10319,sanguinetti,sahn-ghee-NEH-tee
216,8293,feiglin,FAY-glihn
217,7249,nagoum,NAH-goom
218,9175,lamy,lah-MEE
219,6072,geir,GAY-D
220,20021,malwina ,mahl-vee-nah
221,4672,dodojan,doh-doh-ZHAHN
222,22807,rostislavov,ros-tee-SLAH-vov
223,11976,val,val
224,22462,ramzi,RAHM-zee
225,2537,lukin, LOO-keen
226,17643,hugo,Hyoo-go
227,15594,duoliang,Dwor-Lyahng
228,9991,pires,PEE-rehs
229,25466,yana,YAH-nah
230,15311,dawit,dah-weeth
231,12959,abdirahman,ab-DEERrah-MAHN
232,8039,cytrycki,(t)sih-TRIH-skee
233,4349,yushchenko, YOOSH-chehn-kaw
234,10041,prikhodko,pree-HAWD-kaw
235,3128,olmert, OHL-mehrt
236,10431,shaer,SHAH-ehr
237,3543,ryabkov, ree-ahb-KAWF
238,4956,avraham,AHV-rah-hahm
239,6442,theoneste,tay-oh-NEHST
240,19553,leo,Lee-o
241,4429,fereidoun,feh-ree-DOON
242,25966,zohar,ZO-hahr
243,19556,leocadia,leh-oh-kah-thee-ah
244,9180,lapid,lah-PEED
245,6344,amangeldy,ah-MAHN-gehl-DEE
246,21215,njuguna,njoo-GOO-nah
247,12296,barber,bar-ber
248,25839,zaman,Zah-mahn
249,18268,jamila ,jah-mee-lah
250,17448,haya,Ha-ya
251,2821,mishra, MIHSH-rah
252,12609,song,SUHNG
253,19899,mahad,mah-HAHD
254,16572,flemming,FLEM-ming
255,9959,persson,PEHR-shohn
256,5506,rusman,ROOS-mahn
257,18266,jamila,zhah-MEE-lah
258,10157,rexhepi,reh-JEH-pee
259,17531,henriette,Ahn-ree-et
260,8741,jaguda,yah-GOO-dah
261,16532,fionntan ,fyn-tan
262,13403,alfred,al-fred
263,10142,refugio,ray-FOO-hee-oh
264,2369,krizanovic, KREEZH-yah-noh-vihch
265,5084,valentin,VAH-lehn-teen
266,3965,sutarto, soo-TAHR-toh
267,22501,räsänen,RAE-sae-nen
268,937,bendjedid, behn-jeh-DEED
269,6404,hussam,hoo-SAM
270,13162,advait,Uh-dvahyt
271,1506,espinosa, ehs-pee-NOH-sah
272,14046,bader,BAH-dehr
273,3118,okadigbo, oh-KAH-DEE-boh
274,11706,josh,JAH-sh
275,14977,cian ,kee-an
276,19906,mahbuba ,mahk-booh-bah
277,2390,kulik, koo-LEEK
278,18955,kathure,kah-THOO-reh
279,20517,miriam,MIR-ee-ahm
280,20966,nayeong,Nah-yoong
281,11927,colton,KOHl-tuhn
282,7185,tabare,tah-bah-RAY
283,6504,iosif,ee-AW-seef
284,15787,ekkasit,ehk-kah-sit
285,16839,georgas,YOHr-gahs
286,25534,yasmin,YAZ-min
287,15943,emilia,eh-mee-lyah
288,2127,kanis, KAH-nihs
289,24667,uma,U-maa
290,15133,daire ,dair-uh
291,9773,nowak,NOH-vahk
292,11427,sukhpreet,sukh-preet
293,12775,juan  ,HWAHN 
294,16875,gero,geh-roh
295,16585,florian,Flaw-ree-ahn
296,5767,robert,RAH-berht
297,21705,osatohanmwen,Oh-sah-toh-hahn-mwehn
298,18764,kalkidan,kahl-kee-dahn
299,4284,wilders, WIHL-dehrs
300,2997,natelashvili, nah-teh-lahsh-VEE-lee
301,21767,otso,OHT-soh
302,15546,dongmei,Dohng-May
303,4433,haider,H-EYE-dahr
304,14571,ça?la,chaah-lah
305,16265,fah,fah
306,10298,sallah,SAH-lah
307,6063,javed,jah-WEHD
308,9297,madrazo,mah-DRAH-zoh
309,16408,federico,feh-deh-ree-koh
310,22238,qichen,Chee-Chuhn
311,9008,knezevic,kuh-NAY-zuh-vihch
312,24530,tuovinen,TOH-vee-nen
313,13642,angelique,An-zhey-leek
314,5305,olu,OH-loo
315,8606,hekmatyar,hehk-maht-YAHR
316,25100,wacdi,WAHD-jee
317,3690,schily, SHIH-lee
318,19162,kiriaki,kee-ree-AH-kee
319,6683,lotfi,LOOT-fee
320,14824,chepkorir,CHEHP-KOH-reer
321,4546,salam,sah-LAHM
322,1121,camara, kah-MAH-rah
323,5579,herman,HAIR-mahn
324,2733,mejia, may-HEE-ah
325,3116,ojuland, OH-yoo-luhnd
326,6280,joe,JOH
327,23024,salisu,Sah-lee-soo
328,13335,albane,Al-bahn
329,6988,andris,AHN-drees
330,19852,maciu,mah-thee-oo
331,10447,shami,SHAM-ee
332,10865,vashadze,vah-SHAHD-zeh
333,4927,nedzad,NEH-jahd
334,19972,majed,mah-JEHD
335,17309,hamed,HAH-med
336,658,alencar, ah-lehn-KAHR
337,21982,paulius,POW-lyuus
338,16359,fartuun,fahr-TOON
339,12327,umeshkumar,U-mesh-kumar
340,2721,medvedkov, mehd-VEHD-kawv
341,25264,wilson,VEEL-sohn
342,1026,bondar, BOHN-dahr
343,6184,baleka,beh-LEH-keh
344,61,carabinieri,kah-rah-been-YEH-ree
345,24078,tameem,tah-MEEM
346,17996,iqra,EEK-rah
347,23964,szabolcs,sah-bolch
348,19247,kornélia,kor-neh-lee-ah
349,20730,mwangi,mwahn-gee
350,20314,maximina,mahk-see-mee-nah
351,6588,hrvoje,heh-roh-VOY-eh
352,19415,langat,lan-gaht
353,24589,ubax,OO-bahsh
354,14737,ceyhun,jey-hoon
355,10342,sasae,sahs-EYE
356,12259,ali,ah-lee
357,20884,nasr,NAHS-r
358,11020,yushenkov,yuh-shehn-KAWF
359,23870,suhaila,soo-hahy-lah
360,18371,jawahir,jah-wah-HEER
361,1997,izurieta, ee-soo-ree-A-tah
362,12602,jong-un,JAWNG-UHN
363,12382,jassim,JASS-ihm
364,20957,navya,Nuhv-yah
365,23762,soko ,soh-koh
366,7110,vyacheslav,VEH-cheh-slahv
367,6785,basaam,bah-SAM
368,23304,sergio,SEHR-zhee-oh
369,16845,georgina,jor-jee-nah
370,14035,babajide,Bah-bah-jee-deh
371,13409,algis,AHL-gihs
372,8677,igic,EE-gihch
373,3811,shpigun, shh-pee-GOON
374,16221,fabiano,fah-BEE-ah-no
375,5770,ishenbai,ih-shehn-B-EYE
376,8177,dujarric,deh-ZHAH-reek
377,10606,stirling,STEER-lihng
378,18239,jakub ,yah-koob
379,16791,gautam,Gow-tuhm
380,16998,gladys,glah-dees
381,14079,bahrom ,bah-rohm
382,12786,leung,lee-YOONG
383,21770,ottilie,awt-uh-lee
384,14345,bhanu,Buh-noo
385,17196,gurpreet,Goor-preet
386,20926,natthapong,naht-tah-pawng
387,11438,surtaj,sur-taj
388,24422,tingkai,Teeng-Kigh
389,6953,talal,tah-LAHL
390,2904,mueller, MOO-lehr
391,22726,rodolfo,roh-dohl-foh
392,4399,zlenko, ZLEHN-kaw
393,8447,giotopoulos,yoh-TOH-poh-lohs
394,14761,chandni,Chahnd-nee
395,22930,sachi,sah-chee
396,7189,fazli,fahz-LEE
397,25332,xavier,sha-VEE-ehr
398,4727,gordon,GOHR-duhn
399,5468,tiawon,TEE-ah-wohn
400,1612,gahsela, gah-SEH-lah
401,10160,rezaei,reh-zah-EE
402,16302,fana,fah-nah
403,7545,aubry,aw-BREE
404,5761,wieslaw,v-YEH-swahf
405,21797,oziel,oh-ZEE-el
406,9003,klitschko,klihtsh-KAW
407,11625,mohammed,Mo-ham-med
408,20462,milan,mee-lahn
409,19600,leppänen,LEP-pae-nen
410,16640,frangopoulos,fran-GOH-poo-lohs
411,5627,ollanta,oh-YAHN-tah
412,7029,petar,PAY-tr
413,12867,aadhira,Ah-dhee-rah
414,24637,ujor,Oo-johr
415,11488,nicholas,Nick-uh-lus
416,3367,quayes, K-EYE-ehs
417,16461,feruz ,feh-rooz
418,5873,imran,ihm-RAHN
419,14413,birhanu,beer-hah-noo
420,11652,angela,AN-juh-luh
421,1199,chidambaram, chih-DAHM-bah-RAHM
422,7605,baisultanov,b-eye-sool-TAH-nawff
423,8878,karboschi,k-air-baws-CHEE
424,5161,aniano,ahn-yee-AH-noh
425,24722,usaid,oo-SA-eed
426,20676,munkhtuya,moonkh-too-yah
427,930,belkhadem, behl-KAH-dehm
428,24260,teneisha,teh-NEE-shuh
429,13259,airi,ah-ee-ree
430,24577,tzuri,TSOO-ree
431,4765,virgilio,veer-HEEL-yoh
432,10104,rajavi,rah-jah-VEE
433,12062,abraham,AY-bruh-ham
434,9892,palme,PAL-meh
435,18825,kanika,Kuh-nee-kah
436,22540,ravinder,Rah-vin-der
437,1212,chitengi, chih-TEHN-ghih
438,19856,made,MAH-deh
439,22485,rantanen,RAN-tah-nen
440,3696,schroeder, SHREHR-dehr
441,2726,mehralizadeh, MAY-hehr-ah-lee-zah-DEH
442,17908,iming,Ee-Ming
443,3450,reinado, ray-NAH-doh
444,21699,orvokki,OR-vok-kee
445,512,zeguinchor,ZEE-geh(n)-SHAWR
446,18087,isidoros,ee-see-DOH-ros
447,8370,gambar,GAHM-bahr
448,17816,iheanacho,Ee-heh-ahn-ah-choh
449,7827,brash,BR-ASH
450,12255,rose,Rose
451,25082,vuyani,voo-yah-nee
452,13735,aoibhe,EE-vee
453,24639,ujunwa,Oo-joo-nwah
454,12419,joung-binn,EE-JAWNG-BIHN
455,25558,yedidya,yeh-dee-DYAH
456,3410,rakhimov, rah-KEE-mawf
457,16744,gamba,GAHM-bah
458,21918,parkkinen,PARK-kee-nen
459,7478,antall,AWN-tawl
460,10107,rajoelina,rah-joh-ee-LEEN-ah
461,16930,gianluca,jahn-loo-kah
